first_adj,last.dose.adj,n,prop
2021-12-15,0,10887,0.14587380917288598
2021-12-15,2,18924,0.25356075730574945
2021-12-15,3,44692,0.598823576701995
2021-12-15,4,130,0.001741856819369448
2022-05-15,0,8566,0.12552938935213
2022-05-15,2,12996,0.19044827737803896
2022-05-15,3,34699,0.5084922111988746
2022-05-15,4,11978,0.1755301220709565
2022-08-15,0,7671,0.12181024215958713
2022-08-15,2,11640,0.18483525208416038
2022-08-15,3,27402,0.4351250496228662
2022-08-15,4,16262,0.25822945613338627
2022-12-15,0,7650,0.12077485357035728
2022-12-15,2,10605,0.16742710092988744
2022-12-15,3,18113,0.28596012061697795
2022-12-15,4,26973,0.42583792488277733
