first_adj,last.dose.adj.binary,time_since_vacc_cut,n,prop
2021-12-15,1,"[0,91)",45288,0.7104445769146299
2021-12-15,1,"[91,182)",6665,0.10455557995795815
2021-12-15,1,"[182,365)",11793,0.1849998431274119
2022-05-15,1,"[0,91)",15599,0.26140800697132704
2022-05-15,1,"[91,182)",26046,0.43647880951183954
2022-05-15,1,"[182,365)",11052,0.18520939118194157
2022-05-15,1,"[365,Inf)",6976,0.11690379233489183
2022-08-15,1,"[0,91)",7519,0.13595761608563575
2022-08-15,1,"[91,182)",13448,0.24316505135252423
2022-08-15,1,"[182,365)",26848,0.4854621727180674
2022-08-15,1,"[365,Inf)",7489,0.13541515984377261
2022-12-15,1,"[0,91)",24115,0.433014311109515
2022-12-15,1,"[91,182)",1783,0.03201594512578334
2022-12-15,1,"[182,365)",8664,0.15557271372394102
2022-12-15,1,"[365,Inf)",21129,0.37939703004076064
